,id,X.x,name,position,office,region,year,income,income_family,income_salary,income_salary_family,income_teaching,income_teaching_family,income_royalties,income_royalties_family,income_dividents,income_dividents_family,income_help,income_help_family,income_gifts,income_gifts_family,bank_deps,bank_deps_family,flat_area,flat_area_family,house_area,house_area_family,land_area,land_area_family,cars,cars_family,cars_cargo,cars_cargo_family,cars_info,cars_family_info,cars_info_year,cars_family_info_year,car_name_similarity,title,car_price_usd,st_error,r_sq
46,1327,788,"Підгайна Галина Євгеніївна","Старший інспектор групи моніторингу та адміністративної практики штабу спеціального загону ДПС особливого призначення","Міністерство внутрішніх справ","Загальнодержавний регіон",2013,55874.32,33242.47,55874.32,33242.47,0,0,0,0,0,0,7506.9,0,0,0,0,0,18.6,55.75,0,0,0,0,1,0,0,0,"Renault,Clio Symbol;;",;;,2006;;,;;,0.76923076923077,"Renault Symbol",5238.22227999866,128.281283044014,0.75784540036451
47,1336,3550,"Черкащенко Микола Миколайович",Суддя,"Вищий господарський суд","Загальнодержавний регіон",2013,364957,0,310123,0,0,0,0,0,0,0,13764,0,0,0,0,0,238.9,0,0,0,0,0,1,0,0,0,"Mercedes-Benz,Vito;;",;;,2008;;,;;,0.75,"Mercedes-Benz Vito 113",16507.1156294333,2350.5337496905,0.79794705908359
48,134,6523,"Горплюк Андрій Миколайович","Суддя, заступник голови суду","Господарський місцевий суд","Рівненська область",2013,170872,0,170848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"BMW,X5;;",;;,2005;;,;;,0.66666666666667,"BMW X5 x 5",20789.6930485211,566.068611333508,0.86297875302229
49,1349,614,"Адам Юлія Василівна","Провідний спеціаліст відділу представництва інтересів Міністерства юстиції в судах України Департамену судової роботи та експертного забезпечення правосуддя","Міністерство юстиції","Загальнодержавний регіон",2013,53003.98,48000,36552.98,0,0,0,0,0,0,0,4021,0,0,0,0,0,64,64,0,0,0,0,1,0,0,0,"Honda,Jazz;;",;;,2010;;,;;,1,"Honda Jazz",12218.6301973969,373.567001974901,0.9035040405665
50,1360,12910,"Сайбель Костянтин Выкторович","Старший оперуповноважений в особливо важливих справах Головного управління по боротьбі з організованою злочинністю","Міністерство внутрішніх справ","Загальнодержавний регіон",2013,64176.08,0,58254.08,0,0,0,0,0,0,0,5922,0,0,0,0,0,31.3,31.3,0,0,0,0,1,0,0,0,"Hyundai,Elantra;;",;;,2011;;,;;,1,"Hyundai Elantra",12872.4294998204,195.760789953695,0.83216049242562
51,137,3439,"Закаблук Микола Костянтинович","Старший інспектор ДПС спеціалізованного відділення ДПС із забезпечення супроводження спеціальзованного загону ДПС особливого прзначення","Міністерство внутрішніх справ","Загальнодержавний регіон",2013,37244.9,12560,35859.9,11760,0,0,0,0,0,0,1386,0.8,0,0,0,0,0,0,1200,0,0,0,1,0,0,0,"Seat,Cordoba;;",;;,2007;;,;;,1,"Seat Cordoba",7143.04619073763,171.019830968545,0.72713030603204
52,1372,12911,"Радченко Наталія Миколаївна","Начальник Кремінського районного відділу юстиції, Луганської області","Міністерство юстиції","Луганська область",2013,34795,0,20457,0,0,0,0,0,0,0,4658,0,0,0,0,0,71.3,0,0,0,0,0,1,0,0,0,"Chery,Tiggo;;",;;,2008;;,;;,1,"Chery Tiggo",7064.19165604403,77.8023055464573,0.67590054001874
53,1377,6667,"Весельська Тетяна Федорівна",Суддя,"Вищий адміністративний суд","Загальнодержавний регіон",2013,323963,0,310199,0,0,0,0,0,0,0,13764,0,0,0,0,0,129.6,0,0,0,0,0,1,0,0,0,"Lexus,RX;;",;;,2005;;,;;,1,"Lexus RX",17367.1626739642,498.64012003971,0.91744571981935
54,1388,619,"Давиденко Оксана Іванівна","Головний спеціаліст відділу законодавства про надра, водного та лісового господарства Управління законодавства з питань земельних відносин, агропромислового комплексу та охорони довкілля Департаменту цивільного, фінансового законодавства та законодавства з питань земельних відносин","Міністерство юстиції","Загальнодержавний регіон",2013,89652,55572,82408,55572,0,0,0,0,0,0,7244,0,0,0,0,0,68.5,68.5,0,0,0,0,1,0,0,0,"Renault,Logan;;",;;,2012;;,;;,1,"Renault Logan",8174.86046511628,210.546684558566,0.58359244802857
55,1391,3578,"Сидоренко Євген Григорович","Старший інспектор ДПС спеціалізованного відділення ДПС із забезпечення супроводження спеціальзованного загону ДПС особливого прзначення","Міністерство внутрішніх справ","Загальнодержавний регіон",2013,47748.86,0,44083.22,0,0,0,0,0,0,0,3665.64,0,0,0,0,0,98,98,0,0,0,0,1,1,0,0,"Skoda,Fabia;;","Skoda,Fabia;;",2010;;,2010;;,0.53333333333333,"Skoda Fabia Green Line",8700.84395692608,72.6639267051973,0.72296493427768
