number,id,name,position,office,region,year,income,income_family,income_salary,income_salary_family,income_teaching,income_teaching_family,income_royalties,income_royalties_family,income_dividents,income_dividents_family,income_help,income_help_family,income_gifts,income_gifts_family,bank_deps,bank_deps_family,flat_area,flat_area_family,house_area,house_area_family,land_area,land_area_family,cars,cars_family,cars_cargo,cars_cargo_family,cars_info,cars_family_info,cars_info_year,cars_family_info_year
3210,vulyk_1_225,Гевко Ігор Григорович,начальник Підволочиського районного управління юстиції Тернопільської області,Головне управління юстиції,Тернопільська область,2013,59923,393281,49899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,1417,2531,1,1,1,0,Chevrolet Niva;;;;;,Kia Sorento;;;;;,2008;;;;;,2008;;;;;
3211,vulyk_1_1804,Лемак Роман Володимирович,старший прокурор відділу представництва інтересів громадян і держави в суді прокуратури Закарпатської області,Прокуратура,Закарпатська область,2014,166286,0,131428,0,955,0,0,0,33903,0,0,0,0,0,200000,0,69,0,0,0,800,0,1,0,0,0,Kia Sorento;;;;;,;;;;;,2011;;;;;,;;;;;
3212,vulyk_1_585,Джунь Алла Сергіївна,заступник начальника Управління - начальник відділу порівняльно-правового аналізу та експертизи на відповідність acquis communautaire Департаменту міжнародного права та співробітництва,,Загальнодержавний регіон,2013,146292,0,134637,0,0,0,0,0,0,0,11655,0,0,0,0,0,72,0,0,0,0,0,1,0,0,0,Hyundai Getz;;;;;,;;;;;,2008;;;;;,;;;;;
3213,vulyk_1_1772,Бережник Віктор Володимирович,старший слідчий слідчого відділу Прокуратури Полтавської області,Прокуратура,Полтавська область,2014,72758,0,72758,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,1,0,0,0,Toyota Avensis;;;;;,;;;;;,2008;;;;;,;;;;;
3214,vulyk_1_441,Горбатюк Сергій Андрійович,суддя,,,2013,345099,83153,331335,74190,0,0,0,0,0,0,13764,8863,0,100,11177,0,0,57.1,100,0,0,0,0,1,0,0,;;;;;,Mitsubishi Pajero Wagon;;;;;,;;;;;,2008;;;;;
3215,vulyk_1_1710,Михайленко Наталія Михайлівна,прокурор відділу процесуального керівництва при провадженні досудового розслідування органами внутрішніх справ та підтримання державного обвинувачення управління нагляду за додержанням законів у кримінальному провадженні прокуратури області,Прокуратура,,2014,140620,251511,140620,44240,0,0,0,0,0,22174,0,0,0,0,0,0,67.2,67.2,0,64.5,0,2037,0,1,0,0,;;;;;,ВАЗ-21013;;;;;,;;;;;,1986;;;;;
3216,vulyk_1_1171,Тарасюк Наталія Сергіївна,прокурор прокуратури Яготинського району Київської області,Прокуратура,Київська область,2014,9954,62080,0,62080,0,0,0,0,0,0,0,0,0,0,0,0,0,59.6,0,0,15000,0,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
3217,vulyk_1_268,Головатий Василь Ярославович,суддя апеляційного суду Львівської області,Загальний апеляційний суд,Львівська область,2013,246393,403340,226041,15850,8882,0,0,0,0,111200,11470,1610,0,0,0,0,31.6,59.2,0,0,0.095,0,1,1,0,0,Skoda Superb;;;;;,Mazda 6 SDN;;;;;,2010;;;;;,2010;;;;;
3218,vulyk_1_1703,Барановський Юрій Богданович,начальник відділу процесуального керівництва у кримінальних провадженнях прокуратури області,Прокуратура,,2014,133986,2559000,133986,0,0,0,0,0,0,0,0,0,0,1604000,0,0,49.4,181.8,0,327,21.05,3.4,0,3,0,1,;;;;;,Hyundai SantaFe;Hyundai SantaFe;Toyota RAV4;;;,;;;;;,2011;2013;2014;;;
3219,vulyk_1_1082,Нісенець Віта Петрівна,головний спеціаліст з питань захисту державних таємниць прокуратури Дніпровського району м. Києва,Прокуратура,м. Київ,2014,65751,0,65751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
